text,label
공방 가서 맞추는 건 싫고 금으로 맞추는 거 아님[SEP]싫어요 ㅎ[SEP],istj
원하시는 일상 공유가 어떤 건지 [SEP]궁금해요 [SEP],intp
저는 무조건 ..![SEP]말해야 된다고 생각해요 [SEP],enfp
자기 정도만 쓰는 거 같아요.[SEP] 애인을 지칭할 때 '너'라고 하기에는 너무 정 없어 보여서 쓰기 시작했는데 한두 번이 어려웠지 쓰다 보니 어느 순간 아무렇지 않더라고요 [SEP],istj
직장 상사 스타일이라고 생각하심 돼요 [SEP]제가 느끼기에는 f 부분이 너무 적어요..[SEP],estp
저도 f/t 왔다 갔다 해서 궁금하네요.!![SEP] 오지랖 넓은 istj는 없겠죠..[SEP],istj
상대가 누군지에 따라 다르겠죠??[SEP],istj
남자친구가 에스티 제고 제가 entj입니다 ㅋㅋㅋ[SEP]300일 넘게 사귀고 결혼 준비 중이에요[SEP],entj
백수이고 싶네요..[SEP] 항상 퇴사를 꿈꿉니다ㅋㅋ[SEP],estj
잠깐 혼자 있는 게 더 좋을 때도 있으니 혹시 istj 인가했는데 이티제와 일치하는 게 하나도 없네요..[SEP] 특히 4는 저는 못 느끼지만 반성합니다 ㅠㅠㅠ 마지막은 지금 제 상황과 비슷하군요..[SEP],estj
"우선 전 여자지만 확신의 에스티제라면 빈말 정말 싫어합니다,,, 잘 보이려면 어떠한 행동이나 장점 어필을 하려 하지 말로 잘 보이려거나 할 말 없는데 ""굳이"" 칭찬하지 않아요 마음에 들고 정말 보고 싶고 생각나고 머릿속에 예쁘다[SEP] 생각이 가득해서 나오는 말 아닐까ㅏ[SEP]",estj
그런 사람이랑은 연락을 그냥 안 합니다ㅋㅋ[SEP],estj
가끔 여러 타인들과 모인 자리에서 의견 취합이 잘 안될 때 그 생각이 들긴 해요.[SEP] 그냥 저 타인들보다 내 머리에 있는 의견 그대로 하는 게 더 현실적이고 더 좋은 거 같다......[SEP],estj
얘를 어디 써먹을 곳이 없나에 공감하고 갑니다 ㅋㅋ[SEP]정말 딱 들어맞는 표현이군요 ㅋㅋ[SEP],estj
초반엔 서로 잘 맞춰주느라 잘 맞아요 [SEP]사귀다 보면 ST NF의 간극이 느껴지실 거예요[SEP],entp
저는 좋을 거 같아요 실용적인 것도 좋긴 하지만 손 편지도 받으면 기분 좋습니다[SEP],istj
estj by estj 취향이나 방향이 맞으면 정말 친하거나 취향이나 방향이 안 맞으면 정말 악연이거나 (서로 재수 없어함) estp : 안 만나봐서 모르는데 이 팁을 만나본 사람으로 에 팁은 조금 덜 답답하지 않을까 싶네요 [SEP],estj
"다른 분들은 모르겠지만, 저는 첫인상에서 상대방과 친구로 남을지 연인으로 발전할지 딱 느껴져서 친구가 이성으로 느껴진 적은 없는 것 같아요.[SEP] 만약 느껴진다면 헷갈리지 않게 꾸준히 저를 바라봐 주고 호감 표현해 주고 기다려주는 사람한테 친구로서 호감이 이성적인 호감으로 바뀔 것 같아요.[SEP]",istj
아뇨 그러지 마세요[SEP]이미 지옥일 거예요[SEP],estj
저는 자기 계발서의 최고는 시크릿 아닐까 싶어요.[SEP] 사실 자기 계발서의 많은 것들이 시크릿과 비슷한 맥락이죠 ㅎㅎ[SEP],enfj
"사과님 혼자서 계속 신경 쓰인다는 거죠??[SEP]저라면 진짜 아파서 그런 거고, 그냥 사과님이 ""앗 장난친 건데 미안 아픈 줄 몰랐어 미안해 ㅠㅠ "" 이런 식으로 얘기하셨으면 고의가 아닌 거 알아서 별생각 없이 지나갈 거 같아요 ㅋㅋㅋ[SEP]",estj
우선 그런 부분을 내가 감당할 수 있는지를 먼저 생각할 것 같고 내 기준 아니다 싶은 부분에 대해서는 좀 고민을 한 다음에 조심해 줬으면 좋겠다고 사전에 말을 할 것 같아요 [SEP]제 경우에는 부정적인 면을 제가 직접 보는 것보다 상대방한테 직접 듣는 게 더 오랫동안 머릿속에 남더라고요 [SEP],istj
전 에스티제는 아니지만 그냥 인간적으로 님께서 마무리를 현명하게 잘하신 것 같아요.[SEP]그 상태로 님께서 초연히?[SEP],intj
예시를 들어가며 기분이 안 좋았던 점을 좋은 말투로 말하면 웬만해서 고쳐져요.[SEP] A=A다 융통성이 부족해 다른 상황에는 에러가 있을 수 있으나 본인이 기분 나쁠 때마다 지나치시지 말고 그때그때 지적해 주세요.[SEP],estj
Isfj esfj요![SEP],istj
옆자리 앉는 거면 80%[SEP],estj
이 사람 진짜 성숙하고 믿을만한 사람이구나 싶을 때 확신이 와요.[SEP] 일관성 있는 모습을 보여줄 때[SEP],estj
이 팁도 또한 그렇습니다[SEP] 바람피울 놈들은 어떤 성향이던 다 피더라고요 [SEP],istp
관심 없는 사람이면 잔소리고 뭐고 아예 신경도 안 써요 [SEP] 오히려 친절하게 대해요 ㅎㅎㅎ[SEP],istj
아뇨!!!![SEP],entp
제 생각만으로는 아마 남자친구분이 화난 건 사실 님에게 화가 난 게 아니라 그 직원한테 화가 났는데 이걸 님한테 답답하니까 저리 말한 거 같아요.[SEP]저도 전에 남자친구가 배신당하거나 당하고 있음[SEP],enfj
진짜 돌려까기의 고수네요 [SEP],infj
모태 estj로 27년간 살다가 최근에 바뀐 사람이지만 제가 estj 시절로 말씀드리자면 좋아해 까진 해도 사랑해는 뭔가..[SEP]그 안에 담긴 마음이 더 커야 한다고 생각하기도 하고 오글거려서 잘 못하겠더라고요 [SEP],intj
정말 인기 많은 신메뉴가 나오고 유명한 맛집이 생겨도 단골 식당과 먹던 메뉴를 더 선호하시나요 [SEP],intj
저희 남편이 estj인데 막 잔소리하다가 자기가 심했다면서 저한테 사과해요 [SEP] 원래 그런 줄 알았는데 주변 사람들이 그러는데;(시댁 가족 및 친구들 직장동료의 말) 남편은 아무에게도 사과하지 않는데요 (모두에게 팩폭날림)[SEP],intp
장난이 아니라 진심으로 다가가면 포섭 가능해 보여요![SEP] 확신을 줘보세요[SEP],istj
쪼끔 고장 나요 조절할 줄 모르는istj든 뚝딱대면서 급발진해요 [SEP] 오래 안 가지만[SEP],infj
혼자 맘의 시간 중요해요 [SEP],estj
하이브리드 입장에서 1. 자기 스타일 아닌데 그러면 성가실 겁니다 상대방이 어떤 포인트에 매력 느끼는지 탐색전은 하셔야 할 겁니다[SEP] 정보 획득하고요 [SEP],estj
이티제는 내 사람이라고 느끼면 엄청 다 퍼주죠ㅋㅋ[SEP]점점 잘해주는 모습에 상대방은 특별함을 느끼더라고요.[SEP],istj
